nom,prenom,filière,Campus,Annee,email
Marti,Mathilde,GProgramming,Bordeaux,2A,Marti.Mathilde@ican-school.com
Randa,Gualtiero,GDesign,Paris,M2,Randa.Gualtiero@ican-school.com
Julieta,Quinn,GArt,Remote,1A,Julieta.Quinn@ican-school.com
Averyl,Socha,GProgramming,Lille,M1,Averyl.Socha@ican-school.com
Eadie,Juan,GArt,Lille,1A,Eadie.Juan@ican-school.com
Joeann,Pernick,Communication,Lille,M1,Joeann.Pernick@ican-school.com
Briney,Rustice,Narrative Design,Paris,1A,Briney.Rustice@ican-school.com
Barbara,Daegal,Narrative Design,Bordeaux,M1,Barbara.Daegal@ican-school.com
Lulita,Aaberg,GProgramming,Lille,1A,Lulita.Aaberg@ican-school.com
Meghann,Lea,Communication,Remote,M2,Meghann.Lea@ican-school.com
Sharai,Medrek,GArt,Lille,2A,Sharai.Medrek@ican-school.com
Annabela,Cohdwell,Communication,Lille,M2,Annabela.Cohdwell@ican-school.com
Neila,Gamaliel,Concept Art,Paris,3A,Neila.Gamaliel@ican-school.com
Taffy,Dahlia,Animation,Paris,3A,Taffy.Dahlia@ican-school.com
Maud,Diogenes,GArt,Paris,2A,Maud.Diogenes@ican-school.com
Elka,Diogenes,Communication,Lyon,M2,Elka.Diogenes@ican-school.com
Fanchon,Cutlerr,Animation,Remote,3A,Fanchon.Cutlerr@ican-school.com
Alia,Pillsbury,Animation,Bordeaux,M2,Alia.Pillsbury@ican-school.com
Betta,Fink,Animation,Bordeaux,M1,Betta.Fink@ican-school.com
Madeleine,Primalia,GProgramming,Paris,2A,Madeleine.Primalia@ican-school.com
Mireielle,Gaulin,GDesign,Bordeaux,M1,Mireielle.Gaulin@ican-school.com
Bettine,Liebermann,GDesign,Lyon,M2,Bettine.Liebermann@ican-school.com
Camile,Olnee,GDesign,Paris,M2,Camile.Olnee@ican-school.com
Carlie,Iiette,GProgramming,Remote,3A,Carlie.Iiette@ican-school.com
Mahalia,Gilbertson,GProgramming,Lyon,M1,Mahalia.Gilbertson@ican-school.com
Kaia,Cyrie,Animation,Remote,3A,Kaia.Cyrie@ican-school.com
Ketti,Suanne,Narrative Design,Paris,M2,Ketti.Suanne@ican-school.com
Viviene,Arathorn,GArt,Lyon,M1,Viviene.Arathorn@ican-school.com
Britni,Claudine,Communication,Paris,1A,Britni.Claudine@ican-school.com
Christy,Chobot,Communication,Bordeaux,3A,Christy.Chobot@ican-school.com
Charmaine,Iphlgenia,Concept Art,Remote,M2,Charmaine.Iphlgenia@ican-school.com
Lacie,Arley,GProgramming,Lyon,1A,Lacie.Arley@ican-school.com
Wileen,Hepsibah,GDesign,Bordeaux,2A,Wileen.Hepsibah@ican-school.com
Leanna,Elbertina,Animation,Bordeaux,M1,Leanna.Elbertina@ican-school.com
Sabina,Idelia,Animation,Paris,M2,Sabina.Idelia@ican-school.com
Claresta,Lissi,Communication,Lyon,1A,Claresta.Lissi@ican-school.com
Lory,Jotham,Communication,Lille,2A,Lory.Jotham@ican-school.com
Kamilah,Mauer,Animation,Remote,1A,Kamilah.Mauer@ican-school.com
Margarette,Cosenza,Narrative Design,Lille,3A,Margarette.Cosenza@ican-school.com
Maridel,Tarrant,Communication,Paris,M1,Maridel.Tarrant@ican-school.com
Alexine,Amethist,GDesign,Bordeaux,1A,Alexine.Amethist@ican-school.com
Suzette,Donoghue,GDesign,Paris,2A,Suzette.Donoghue@ican-school.com
Rubie,Saree,Narrative Design,Remote,M2,Rubie.Saree@ican-school.com
Lanna,Croix,GArt,Lyon,M1,Lanna.Croix@ican-school.com
Olivette,Lareena,Communication,Lille,M2,Olivette.Lareena@ican-school.com
Almeta,Dituri,Communication,Remote,2A,Almeta.Dituri@ican-school.com
Meghann,Sholley,Narrative Design,Bordeaux,2A,Meghann.Sholley@ican-school.com
Annecorinne,Chick,Animation,Paris,1A,Annecorinne.Chick@ican-school.com
Annaliese,Swigart,GArt,Lille,2A,Annaliese.Swigart@ican-school.com
Gerrie,Kellby,Concept Art,Paris,M1,Gerrie.Kellby@ican-school.com
Marleah,Truc,GArt,Lyon,M1,Marleah.Truc@ican-school.com
Dennie,Niles,Communication,Bordeaux,1A,Dennie.Niles@ican-school.com
Bobbi,Angelis,GProgramming,Lyon,3A,Bobbi.Angelis@ican-school.com
Augustine,Damarra,Animation,Lyon,3A,Augustine.Damarra@ican-school.com
Linet,Zetta,Concept Art,Lille,1A,Linet.Zetta@ican-school.com
Teriann,Brotherson,Concept Art,Remote,1A,Teriann.Brotherson@ican-school.com
Ulrike,Sundin,GDesign,Lyon,M2,Ulrike.Sundin@ican-school.com
Corina,Montgomery,Animation,Paris,M2,Corina.Montgomery@ican-school.com
Di,Adlare,Communication,Remote,1A,Di.Adlare@ican-school.com
Deirdre,Ellerey,GArt,Lille,M1,Deirdre.Ellerey@ican-school.com
Kaja,Mullane,GDesign,Bordeaux,M2,Kaja.Mullane@ican-school.com
Reeba,Markman,Concept Art,Lyon,3A,Reeba.Markman@ican-school.com
Ekaterina,Terrence,Communication,Lille,M2,Ekaterina.Terrence@ican-school.com
Kirstin,Millda,GProgramming,Lyon,2A,Kirstin.Millda@ican-school.com
Jackie,Secrest,Concept Art,Lille,3A,Jackie.Secrest@ican-school.com
Heida,Leonard,GArt,Lille,1A,Heida.Leonard@ican-school.com
Carol-Jean,Cleo,Communication,Lille,2A,Carol-Jean.Cleo@ican-school.com
Kate,Bow,Concept Art,Lille,M1,Kate.Bow@ican-school.com
Vanessa,Francyne,Animation,Remote,2A,Vanessa.Francyne@ican-school.com
Jobi,Ahab,Animation,Lille,1A,Jobi.Ahab@ican-school.com
Laurene,Billye,GArt,Remote,3A,Laurene.Billye@ican-school.com
Jaclyn,Roumell,GProgramming,Remote,M1,Jaclyn.Roumell@ican-school.com
Rozele,McGrody,Concept Art,Remote,3A,Rozele.McGrody@ican-school.com
Max,Warthman,GDesign,Remote,3A,Max.Warthman@ican-school.com
Vonny,Wilona,Animation,Paris,M1,Vonny.Wilona@ican-school.com
Ariela,Gower,GProgramming,Bordeaux,M1,Ariela.Gower@ican-school.com
Marjie,Clara,GProgramming,Paris,1A,Marjie.Clara@ican-school.com
Elmira,Maxi,GDesign,Lille,1A,Elmira.Maxi@ican-school.com
Minda,Eachern,GArt,Lille,2A,Minda.Eachern@ican-school.com
Andeee,Papageno,Communication,Lyon,3A,Andeee.Papageno@ican-school.com
Glenda,LaRue,Narrative Design,Remote,1A,Glenda.LaRue@ican-school.com
Randa,Jillane,Animation,Bordeaux,M2,Randa.Jillane@ican-school.com
Sue,Prober,Animation,Bordeaux,1A,Sue.Prober@ican-school.com
Wileen,Henebry,Narrative Design,Bordeaux,M2,Wileen.Henebry@ican-school.com
Alyssa,Bevin,Narrative Design,Lille,1A,Alyssa.Bevin@ican-school.com
Netty,Sophronia,Communication,Lille,3A,Netty.Sophronia@ican-school.com
Sophia,Burnside,GArt,Lyon,M1,Sophia.Burnside@ican-school.com
Sindee,Lea,Animation,Remote,M2,Sindee.Lea@ican-school.com
Jemie,Edvard,GDesign,Lyon,1A,Jemie.Edvard@ican-school.com
Libbie,Hathaway,Communication,Lyon,M1,Libbie.Hathaway@ican-school.com
Delilah,Egbert,GArt,Paris,M2,Delilah.Egbert@ican-school.com
Tatiania,Land,Animation,Remote,2A,Tatiania.Land@ican-school.com
Consuela,Merriott,Communication,Lyon,M1,Consuela.Merriott@ican-school.com
Dawn,Pitt,Animation,Remote,2A,Dawn.Pitt@ican-school.com
Angela,Ammann,Narrative Design,Lille,M1,Angela.Ammann@ican-school.com
Jeanna,Odysseus,GDesign,Paris,M2,Jeanna.Odysseus@ican-school.com
Hyacinthe,Melleta,Communication,Paris,2A,Hyacinthe.Melleta@ican-school.com
Mignon,O'Neill,Animation,Remote,3A,Mignon.O'Neill@ican-school.com
Genovera,Wu,GArt,Bordeaux,M2,Genovera.Wu@ican-school.com
Briney,Sabella,Concept Art,Remote,M1,Briney.Sabella@ican-school.com
Bobbi,Wadell,Communication,Paris,1A,Bobbi.Wadell@ican-school.com
Hildegaard,Pitt,Concept Art,Bordeaux,1A,Hildegaard.Pitt@ican-school.com
Sadie,Pulsifer,Animation,Paris,2A,Sadie.Pulsifer@ican-school.com
Ginnie,Iiette,Communication,Paris,2A,Ginnie.Iiette@ican-school.com
Liana,Isidore,GDesign,Bordeaux,M1,Liana.Isidore@ican-school.com
Eugine,Tacye,Concept Art,Lille,M2,Eugine.Tacye@ican-school.com
Sue,Fleeta,Narrative Design,Bordeaux,M1,Sue.Fleeta@ican-school.com
Priscilla,Noam,Animation,Lyon,2A,Priscilla.Noam@ican-school.com
Nelle,Fontana,Communication,Paris,M1,Nelle.Fontana@ican-school.com
Paule,Cyrie,Narrative Design,Remote,M2,Paule.Cyrie@ican-school.com
Catharine,Larochelle,Concept Art,Lyon,3A,Catharine.Larochelle@ican-school.com
Jany,Kauppi,GDesign,Paris,3A,Jany.Kauppi@ican-school.com
Lanae,Demitria,Animation,Bordeaux,2A,Lanae.Demitria@ican-school.com
Yolane,Cherianne,GDesign,Paris,3A,Yolane.Cherianne@ican-school.com
Dorice,Suanne,GDesign,Bordeaux,3A,Dorice.Suanne@ican-school.com
Yetty,Suzetta,Narrative Design,Paris,1A,Yetty.Suzetta@ican-school.com
Genevra,Linehan,GArt,Bordeaux,2A,Genevra.Linehan@ican-school.com
Ivett,Marcellus,Narrative Design,Remote,2A,Ivett.Marcellus@ican-school.com
Ricky,Bury,Animation,Lyon,3A,Ricky.Bury@ican-school.com
Wilma,Bertold,Communication,Lyon,1A,Wilma.Bertold@ican-school.com
Tilly,Yoko,Animation,Paris,2A,Tilly.Yoko@ican-school.com
Rosene,Vernier,Concept Art,Bordeaux,2A,Rosene.Vernier@ican-school.com
Therine,Sheng,GArt,Lyon,2A,Therine.Sheng@ican-school.com
Nessie,Gaal,Concept Art,Lille,M1,Nessie.Gaal@ican-school.com
Brandise,Bevin,GDesign,Lille,M1,Brandise.Bevin@ican-school.com
Alex,Holbrook,Narrative Design,Paris,1A,Alex.Holbrook@ican-school.com
Gloria,Neils,Animation,Bordeaux,1A,Gloria.Neils@ican-school.com
Coral,Infield,Communication,Paris,M1,Coral.Infield@ican-school.com
Queenie,Llovera,Narrative Design,Paris,M2,Queenie.Llovera@ican-school.com
Dania,Lunsford,GDesign,Remote,M2,Dania.Lunsford@ican-school.com
Celisse,Olympium,Concept Art,Paris,1A,Celisse.Olympium@ican-school.com
Barbara,Fosque,Communication,Bordeaux,M1,Barbara.Fosque@ican-school.com
Leontine,Mendez,GDesign,Paris,3A,Leontine.Mendez@ican-school.com
Sibella,Blake,GArt,Lyon,M1,Sibella.Blake@ican-school.com
Gwyneth,Seligman,Communication,Paris,M1,Gwyneth.Seligman@ican-school.com
Mariele,Bertold,GDesign,Lille,2A,Mariele.Bertold@ican-school.com
Fredericka,Keelia,Animation,Lyon,M2,Fredericka.Keelia@ican-school.com
Joelly,Maurine,GArt,Bordeaux,3A,Joelly.Maurine@ican-school.com
Dode,Cottle,Narrative Design,Paris,M2,Dode.Cottle@ican-school.com
Edith,Jacqui,GArt,Lyon,1A,Edith.Jacqui@ican-school.com
Ricky,Noman,Animation,Paris,1A,Ricky.Noman@ican-school.com
Ebonee,Colp,GDesign,Lille,2A,Ebonee.Colp@ican-school.com
Cassondra,Ivens,Concept Art,Paris,3A,Cassondra.Ivens@ican-school.com
Molli,Jotham,Narrative Design,Bordeaux,2A,Molli.Jotham@ican-school.com
Merci,Pillsbury,GDesign,Bordeaux,M1,Merci.Pillsbury@ican-school.com
Mahalia,Joachim,GArt,Bordeaux,3A,Mahalia.Joachim@ican-school.com
Neila,Cohdwell,GDesign,Bordeaux,1A,Neila.Cohdwell@ican-school.com
Mariele,Timon,GProgramming,Lille,3A,Mariele.Timon@ican-school.com
Brana,Tjon,Narrative Design,Lyon,1A,Brana.Tjon@ican-school.com
Taffy,Reneta,Animation,Lyon,M1,Taffy.Reneta@ican-school.com
Ricky,Kenwood,GDesign,Lyon,M2,Ricky.Kenwood@ican-school.com
Oralee,Felecia,Narrative Design,Remote,M2,Oralee.Felecia@ican-school.com
Albertina,Ellerey,Concept Art,Paris,1A,Albertina.Ellerey@ican-school.com
Taffy,Trey,GArt,Remote,M2,Taffy.Trey@ican-school.com
Suzette,Quent,Concept Art,Lille,1A,Suzette.Quent@ican-school.com
Ilse,Infield,Concept Art,Lille,3A,Ilse.Infield@ican-school.com
Aeriela,Willie,Animation,Paris,3A,Aeriela.Willie@ican-school.com
Lonnie,Eiser,Narrative Design,Bordeaux,M1,Lonnie.Eiser@ican-school.com
Dorene,Hathaway,GArt,Remote,3A,Dorene.Hathaway@ican-school.com
Andeee,Sekofski,GArt,Bordeaux,2A,Andeee.Sekofski@ican-school.com
Marcelline,Poll,Narrative Design,Bordeaux,M2,Marcelline.Poll@ican-school.com
Gertrud,Sasnett,GArt,Paris,M2,Gertrud.Sasnett@ican-school.com
Willetta,Ajay,Concept Art,Lille,3A,Willetta.Ajay@ican-school.com
Margette,Giule,Animation,Bordeaux,3A,Margette.Giule@ican-school.com
Aurore,Eugenia,GArt,Paris,M2,Aurore.Eugenia@ican-school.com
Mignon,Zamora,Animation,Bordeaux,2A,Mignon.Zamora@ican-school.com
Dorene,Khorma,Concept Art,Paris,2A,Dorene.Khorma@ican-school.com
Cindelyn,Olnee,GArt,Bordeaux,2A,Cindelyn.Olnee@ican-school.com
Odessa,Denis,Animation,Remote,2A,Odessa.Denis@ican-school.com
Edee,Kussell,GDesign,Bordeaux,2A,Edee.Kussell@ican-school.com
Roz,Pernick,Concept Art,Paris,M2,Roz.Pernick@ican-school.com
Tressa,Atcliffe,Narrative Design,Lille,3A,Tressa.Atcliffe@ican-school.com
Estell,Presber,GArt,Lyon,M2,Estell.Presber@ican-school.com
Kaja,Hubert,GProgramming,Lyon,2A,Kaja.Hubert@ican-school.com
Dolli,Allare,Narrative Design,Paris,M1,Dolli.Allare@ican-school.com
Elka,Baylor,Communication,Paris,M1,Elka.Baylor@ican-school.com
Latisha,Dorothy,Narrative Design,Remote,3A,Latisha.Dorothy@ican-school.com
Gui,Lasley,GDesign,Bordeaux,2A,Gui.Lasley@ican-school.com
Joleen,Colyer,Concept Art,Lille,1A,Joleen.Colyer@ican-school.com
Sue,Louanna,Communication,Bordeaux,2A,Sue.Louanna@ican-school.com
Susette,Geffner,GDesign,Lyon,3A,Susette.Geffner@ican-school.com
Tobe,Wyn,Communication,Remote,M2,Tobe.Wyn@ican-school.com
Arabel,Lia,Concept Art,Lille,2A,Arabel.Lia@ican-school.com
Layla,Hubert,Animation,Lille,1A,Layla.Hubert@ican-school.com
Paulita,Fink,Narrative Design,Lyon,M1,Paulita.Fink@ican-school.com
Nelle,Quinn,GDesign,Lille,1A,Nelle.Quinn@ican-school.com
Ashlee,Zamora,Concept Art,Paris,3A,Ashlee.Zamora@ican-school.com
Tobe,Burch,Communication,Lyon,3A,Tobe.Burch@ican-school.com
Hope,Therine,GDesign,Bordeaux,1A,Hope.Therine@ican-school.com
Fidelia,Plato,Animation,Lyon,M1,Fidelia.Plato@ican-school.com
Leanna,Cressida,Concept Art,Lille,M2,Leanna.Cressida@ican-school.com
Darlleen,Kalinda,Communication,Paris,3A,Darlleen.Kalinda@ican-school.com
Ayn,Gladstone,Communication,Remote,1A,Ayn.Gladstone@ican-school.com
Aurelie,Fadiman,GArt,Remote,1A,Aurelie.Fadiman@ican-school.com
Selia,Herrera,GProgramming,Bordeaux,1A,Selia.Herrera@ican-school.com
Courtnay,Belanger,Concept Art,Lille,M2,Courtnay.Belanger@ican-school.com
Joy,Eugenia,GArt,Paris,2A,Joy.Eugenia@ican-school.com
Harmonia,Desai,GArt,Paris,2A,Harmonia.Desai@ican-school.com
Nanete,Kermit,GDesign,Lille,1A,Nanete.Kermit@ican-school.com
Tierney,Rubie,Concept Art,Lille,M2,Tierney.Rubie@ican-school.com
Corly,Friede,Animation,Bordeaux,1A,Corly.Friede@ican-school.com
Mignon,Prouty,Animation,Lyon,M2,Mignon.Prouty@ican-school.com
Roseline,Mozelle,GArt,Remote,M1,Roseline.Mozelle@ican-school.com
Binny,Fleeta,GDesign,Paris,2A,Binny.Fleeta@ican-school.com
Annaliese,Loleta,GArt,Lyon,M1,Annaliese.Loleta@ican-school.com
Tabbatha,Alfons,Animation,Lille,M1,Tabbatha.Alfons@ican-school.com
Cindelyn,Linehan,Communication,Remote,3A,Cindelyn.Linehan@ican-school.com
Stevana,Ochs,Animation,Remote,2A,Stevana.Ochs@ican-school.com
Emylee,Zitvaa,Concept Art,Remote,M2,Emylee.Zitvaa@ican-school.com
Bee,Cavan,Communication,Remote,M2,Bee.Cavan@ican-school.com
Ofilia,Laurianne,GDesign,Paris,2A,Ofilia.Laurianne@ican-school.com
Abbie,Killigrew,GArt,Paris,M1,Abbie.Killigrew@ican-school.com
Dione,Bari,GArt,Bordeaux,2A,Dione.Bari@ican-school.com
Karlee,Solitta,Concept Art,Bordeaux,M1,Karlee.Solitta@ican-school.com
Mathilda,Jary,GProgramming,Lyon,2A,Mathilda.Jary@ican-school.com
Karolina,Mike,Concept Art,Paris,2A,Karolina.Mike@ican-school.com
Fredericka,Tayib,GArt,Lyon,1A,Fredericka.Tayib@ican-school.com
Marika,Anderea,Narrative Design,Lille,M1,Marika.Anderea@ican-school.com
Calla,Burnside,GDesign,Bordeaux,2A,Calla.Burnside@ican-school.com
Emylee,Amethist,Animation,Bordeaux,1A,Emylee.Amethist@ican-school.com
Roz,Leifeste,Narrative Design,Remote,1A,Roz.Leifeste@ican-school.com
Elora,Tayib,Communication,Bordeaux,2A,Elora.Tayib@ican-school.com
Brietta,Pascia,Animation,Paris,M1,Brietta.Pascia@ican-school.com
Sheelagh,Evvie,Narrative Design,Lyon,1A,Sheelagh.Evvie@ican-school.com
Ketti,Ashok,Narrative Design,Remote,2A,Ketti.Ashok@ican-school.com
Katleen,Jefferey,Concept Art,Bordeaux,1A,Katleen.Jefferey@ican-school.com
Oralee,Love,Communication,Lille,2A,Oralee.Love@ican-school.com
Kial,Shaddock,GProgramming,Paris,2A,Kial.Shaddock@ican-school.com
Fina,Martsen,Communication,Remote,2A,Fina.Martsen@ican-school.com
Isa,Kirstin,GDesign,Bordeaux,M1,Isa.Kirstin@ican-school.com
Adore,MacIntosh,Communication,Lyon,1A,Adore.MacIntosh@ican-school.com
Hettie,Tremayne,Communication,Bordeaux,M2,Hettie.Tremayne@ican-school.com
Susette,Middleton,Narrative Design,Paris,2A,Susette.Middleton@ican-school.com
Minda,Aurelio,Concept Art,Lille,M1,Minda.Aurelio@ican-school.com
Merrie,Burnside,GProgramming,Paris,3A,Merrie.Burnside@ican-school.com
Celisse,Laverne,GProgramming,Lyon,M2,Celisse.Laverne@ican-school.com
Rochette,Cressida,Narrative Design,Lille,3A,Rochette.Cressida@ican-school.com
Kamilah,Wooster,Communication,Lyon,1A,Kamilah.Wooster@ican-school.com
Justinn,Soneson,GDesign,Paris,2A,Justinn.Soneson@ican-school.com
Nelle,Turne,GDesign,Bordeaux,3A,Nelle.Turne@ican-school.com
Gretal,Francyne,GProgramming,Paris,2A,Gretal.Francyne@ican-school.com
Darlleen,Warthman,Animation,Lyon,1A,Darlleen.Warthman@ican-school.com
Dorothy,Raimondo,Communication,Lille,M2,Dorothy.Raimondo@ican-school.com
Kore,Eiser,GProgramming,Bordeaux,M1,Kore.Eiser@ican-school.com
Fawne,Bakerman,GArt,Bordeaux,3A,Fawne.Bakerman@ican-school.com
June,Rosemary,GDesign,Lyon,1A,June.Rosemary@ican-school.com
Molli,Pauly,Communication,Paris,M1,Molli.Pauly@ican-school.com
Aryn,Mehalek,Animation,Remote,M2,Aryn.Mehalek@ican-school.com
Rani,Creamer,GProgramming,Lyon,2A,Rani.Creamer@ican-school.com
Nickie,Hurley,Narrative Design,Remote,M2,Nickie.Hurley@ican-school.com
Nonnah,Hanleigh,Communication,Lyon,2A,Nonnah.Hanleigh@ican-school.com
Lilith,Abernon,GProgramming,Paris,M1,Lilith.Abernon@ican-school.com
Brianna,Bashemeth,Concept Art,Lille,2A,Brianna.Bashemeth@ican-school.com
Kary,Couture,GArt,Bordeaux,1A,Kary.Couture@ican-school.com
Ricky,Manolo,Animation,Bordeaux,1A,Ricky.Manolo@ican-school.com
Veda,Publia,GArt,Paris,2A,Veda.Publia@ican-school.com
Daphne,Freddi,Narrative Design,Lille,2A,Daphne.Freddi@ican-school.com
Nita,Ventre,GDesign,Lyon,1A,Nita.Ventre@ican-school.com
Dari,Ciapas,Communication,Paris,M1,Dari.Ciapas@ican-school.com
Sissy,Katrine,Communication,Bordeaux,3A,Sissy.Katrine@ican-school.com
Dolli,Eliathas,Concept Art,Remote,1A,Dolli.Eliathas@ican-school.com
Vinita,Emmaline,Concept Art,Paris,2A,Vinita.Emmaline@ican-school.com
Cristine,Behre,GProgramming,Lille,2A,Cristine.Behre@ican-school.com
Zaria,Old,GProgramming,Bordeaux,2A,Zaria.Old@ican-school.com
Chandra,Nedrud,Animation,Remote,1A,Chandra.Nedrud@ican-school.com
Tybie,Kauppi,GDesign,Remote,3A,Tybie.Kauppi@ican-school.com
Molli,Alejoa,Communication,Paris,M2,Molli.Alejoa@ican-school.com
Dode,Poppy,GDesign,Bordeaux,M1,Dode.Poppy@ican-school.com
Lorenza,Cookie,Animation,Lille,3A,Lorenza.Cookie@ican-school.com
Norine,Olin,Animation,Paris,2A,Norine.Olin@ican-school.com
Carolina,Jillane,Narrative Design,Lyon,1A,Carolina.Jillane@ican-school.com
Sallie,Blake,GDesign,Remote,2A,Sallie.Blake@ican-school.com
Elise,Ioab,Concept Art,Lyon,2A,Elise.Ioab@ican-school.com
Selia,Darian,GProgramming,Lille,2A,Selia.Darian@ican-school.com
Goldie,Japeth,Concept Art,Paris,1A,Goldie.Japeth@ican-school.com
Nanete,Kinnard,Animation,Paris,M2,Nanete.Kinnard@ican-school.com
Olwen,Borrell,Narrative Design,Lille,1A,Olwen.Borrell@ican-school.com
Helena,Henebry,Communication,Remote,1A,Helena.Henebry@ican-school.com
Nananne,Arley,GDesign,Lille,3A,Nananne.Arley@ican-school.com
Cassondra,Alejoa,GArt,Paris,M1,Cassondra.Alejoa@ican-school.com
Georgetta,Deegan,Communication,Bordeaux,3A,Georgetta.Deegan@ican-school.com
Clo,Gwenore,Narrative Design,Lyon,M2,Clo.Gwenore@ican-school.com
Adelle,Georas,Communication,Lille,M2,Adelle.Georas@ican-school.com
Jenilee,Maroney,GDesign,Paris,M2,Jenilee.Maroney@ican-school.com
Rosabelle,Nore,GArt,Bordeaux,M1,Rosabelle.Nore@ican-school.com
Cristine,Bennie,GDesign,Bordeaux,2A,Cristine.Bennie@ican-school.com
Cyb,Ranjiv,GArt,Bordeaux,2A,Cyb.Ranjiv@ican-school.com
Clarice,Maribeth,GDesign,Paris,3A,Clarice.Maribeth@ican-school.com
Berta,Toffic,Concept Art,Remote,M2,Berta.Toffic@ican-school.com
Constance,Breed,GDesign,Lyon,M1,Constance.Breed@ican-school.com
Adore,Jobi,Concept Art,Bordeaux,M1,Adore.Jobi@ican-school.com
Lorie,Schonfeld,GProgramming,Bordeaux,1A,Lorie.Schonfeld@ican-school.com
Ronna,Oscar,GArt,Remote,3A,Ronna.Oscar@ican-school.com
Karena,Voletta,Narrative Design,Paris,M1,Karena.Voletta@ican-school.com
Lulita,Stover,Animation,Lille,2A,Lulita.Stover@ican-school.com
Max,Chandler,Animation,Bordeaux,3A,Max.Chandler@ican-school.com
Wileen,Mott,Concept Art,Remote,2A,Wileen.Mott@ican-school.com
Teddie,Vale,GDesign,Lille,2A,Teddie.Vale@ican-school.com
Meghann,Even,Narrative Design,Lyon,1A,Meghann.Even@ican-school.com
Donetta,Skurnik,GArt,Lyon,M1,Donetta.Skurnik@ican-school.com
Chastity,Tufts,GProgramming,Paris,2A,Chastity.Tufts@ican-school.com
Corly,Phaidra,Communication,Bordeaux,3A,Corly.Phaidra@ican-school.com
Livvyy,Pierette,Animation,Bordeaux,3A,Livvyy.Pierette@ican-school.com
Maisey,Rustice,GDesign,Lyon,M2,Maisey.Rustice@ican-school.com
Corina,Ehrman,Animation,Paris,1A,Corina.Ehrman@ican-school.com
Damaris,Lutero,GArt,Lille,2A,Damaris.Lutero@ican-school.com
